No.	English	Vulgar Latin
1	I	*eo , *ego (*io)
2	you (singular)	*tu
3	he	*ille (*elle)
4	we	*nos , *nosotri (*nostri)
5	you (plural)	*vos , *vosotri (*vestri)
6	they	*elles (*elli)
7	this	*aquesto ( *eccum iste )
8	that	*aquello ( *eccum ille )
9	here	*aqui ( *eccum hic )
10	there	*illa , *alli (*illic)
11	who	*qui (*quis)
12	what	*que
13	where	*onde (*unde)
14	when	*quando
15	how	*quomo , *quomodo
16	not	*no (*non)
17	all	*tuto , *totu
18	many	*multo (*multi, *multu)
19	some	*alicunus ( *alq unos , *aliqui), *qual quo
20	few	*poco (*paucus)
21	other	*altro , *otro (*alter)
22	one	*uno (*unus, *unu)
23	two	*dos (*duo)
24	three	*tres
25	four	*quattro (*quattuor)
26	five	*cinque ( *quinque )
27	big	*grande (*grandis)
28	long	*longo (*longus, *longu)
29	wide	*largo (*largus)
30	thick	*grosso (*grossus), *spisso (*spissus)
31	heavy	*grave (*gravis), *pesant
32	small	*piccolo , *pittitus
33	short	*curtu (*corto)
34	narrow	*strictus ( *estricto )
35	thin	*sottile (*subtilis, *subtile), *magro (*macer)
36	woman	*mulier , *femina , *domna (*domina)
37	man (adult male)	*homo
38	man (human being)	*humano (*homo, *homine), *persona
39	child	*infante (*infans)
40	wife	*sponsa , *mulier
41	husband	*marito (*maritus)
42	mother	*matre (*mater)
43	father	*patre (*pater)
44	animal	*animale (*animal), *bestia (*bistia)
45	fish	*pisco ( *piscis , *pesce)
46	bird	*avicellus , *avis , *passaru (*passer)
47	dog	*cane (*canis)
48	louse	*pedicellus ( *pediculu )
49	snake	*serpente (*serpens)
50	worm	*vermo (*vermis, *verme)
51	tree	*arborus ( *arbor )
52	forest	*foresta , *bosco (*boscus)
53	stick	*basto (*bastum, *baston), *palo (*palus)
54	fruit	*fructo (*fructus)
55	seed	*sementia ( *semente , *semen)
56	leaf	*folia (*folium)
57	root	*radice (*radix)
58	bark (of a tree)	*scorcia (*scortea, *cortice)
59	flower	*flos (*flor, *floris)
60	grass	*herba
61	rope	*corda (*chorda)
62	skin	*pelle (*pellis)
63	meat	*carne (*caro, *carnis)
64	blood	*sangre (*sanguis, *sanguine)
65	bone	*osso (*os, *ossis)
66	fat (noun)	*grasso (*crassus, *grassu)
67	egg	*ovus (*ovu)
68	horn	*cornu (*corno)
69	tail	*coda (*cauda)
70	feather	*penna , *pluma
71	hair	*pelo (*pilus), *capello (*capillu)
72	head	*capo ( *capu , *capitia), *testa
73	ear	*oricla (*auricula, *auris)
74	eye	*oclus (*oculus, *oclu)
75	nose	*nasus , *narices (*nasu, *naris)
76	mouth	*bucca
77	tooth	*dente (*dens)
78	tongue (organ)	*lingua
79	fingernail	*unga (*unguis, *ungula)
80	foot	*pede (*pes), *patta
81	leg	*gamba , *perna
82	knee	*genuclum ( *geniculu , *genu)
83	hand	*manu ( *manus )
84	wing	*ala
85	belly	*venter (*ventres, *ventre), *pantex (*pantices)
86	guts	*intestino , *viscera
87	neck	*collo , *nucha , *cervix
